FID,ID_KEL,Nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,ODP,Proses Pemantauan,Selesai Pemantauan,PDP,Masih Dirawat,Pulang dan Sehat,POSITIF,Dirawat,Sembuh,Meninggal,Self Isolation,Keterangan,Latitude,Longitude
0,3173061005,DKI JAKARTA,JAKARTA BARAT,KALI DERES,PEGADUNGAN,129,0,129,61,0,61,51,15,28,4,4,,-6.131373,106.7013377
1,3174071006,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,SENAYAN,7,0,7,13,0,13,17,0,16,0,1,,-6.2269109,106.8099197
2,3173051001,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,408,2,406,45,3,42,55,13,22,7,13,,-6.192572,106.7697255
3,3172061001,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,168,0,168,65,1,64,37,8,15,4,10,,-6.1666121,106.9037323
4,3173021003,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,114,1,113,30,3,27,42,9,27,1,5,,-6.1727245,106.7973014
5,3175071001,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,103,2,101,35,0,35,39,9,20,4,6,,-6.2341378,106.9192472
6,3173061001,DKI JAKARTA,JAKARTA BARAT,KALI DERES,KALIDERES,243,1,242,66,2,64,41,12,19,5,5,,-6.1370058,106.7015938
7,3174051002,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,152,0,152,37,3,34,40,7,18,9,6,,-6.2754791,106.7804027
8,3175071004,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK KELAPA,97,0,97,14,1,13,52,11,26,4,11,,-6.2410395,106.9331532
9,3174061001,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,170,0,170,66,4,62,28,6,13,3,6,,-6.290266,106.7962151
10,3173081004,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,SRENGSENG,61,3,58,34,5,29,28,5,13,2,8,,-6.2064995,106.7541059
11,3174011003,DKI JAKARTA,JAKARTA SELATAN,TEBET,MENTENG DALAM,83,0,83,23,5,18,27,3,13,3,8,,-6.2320512,106.8409966
12,3172061003,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,182,0,182,54,5,49,54,15,24,3,12,,-6.1559665,106.8952996
13,3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,74,1,73,11,0,11,18,4,7,2,5,,-6.2640072,106.8192923
14,3175081004,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,HALIM PERDANA KUSUMAH,36,0,36,10,1,9,24,6,15,2,1,,-6.21462,106.84513
15,3172021006,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,512,6,506,143,9,134,149,44,24,11,70,,-6.1359497,106.8620469
16,3172011005,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PLUIT,70,2,68,43,3,40,37,9,11,3,14,,-6.1097837,106.7856638
17,3174091005,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,85,1,84,30,1,29,21,5,8,3,5,,-6.3084775,106.8388558
18,3173051005,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,DURI KEPA,247,0,247,40,11,29,44,15,12,4,13,,-6.1763875,106.7736932
19,3175021007,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,JATI,83,1,82,19,1,18,26,6,15,0,5,,-6.1942505,106.8966023
20,3174011001,DKI JAKARTA,JAKARTA SELATAN,TEBET,TEBET TIMUR,37,0,37,14,1,13,14,2,8,3,1,,-6.2336231,106.8556056
21,3174061002,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,LEBAK BULUS,112,0,112,32,4,28,28,6,9,6,7,,-6.3025678,106.7803539
22,3174101002,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,85,2,83,33,3,30,27,10,8,6,3,,-6.2713928,106.7608618
23,3171031003,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,40,1,39,16,1,15,16,1,6,2,7,,-6.1699867,106.8549307
24,3173051007,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,86,2,84,24,2,22,15,4,6,0,5,,-6.1820225,106.75942
25,3173051004,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KELAPA DUA,79,0,79,15,4,11,20,7,8,1,4,,-6.209606,106.7682643
26,3175041004,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,64,0,64,19,2,17,22,3,12,3,4,,-6.2806941,106.861642
27,3174071005,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,RAWA BARAT,16,0,16,5,0,5,7,0,6,1,0,,-6.2361199,106.8130175
28,3175031006,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA,52,2,50,9,0,9,25,8,6,2,9,,-6.2263455,106.8884283
29,3175061003,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,PENGGILINGAN,93,3,90,28,2,26,38,11,11,2,14,,-6.202129,106.9342476
30,3174011002,DKI JAKARTA,JAKARTA SELATAN,TEBET,TEBET BARAT,87,0,87,21,0,21,29,4,14,2,9,,-6.233783,106.8484978
31,3173021004,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,72,2,70,12,1,11,27,3,11,4,9,,-6.1598968,106.7854878
32,3174011005,DKI JAKARTA,JAKARTA SELATAN,TEBET,BUKIT DURI,48,2,46,20,0,20,18,4,7,3,4,,-6.2201045,106.8565986
33,3174021003,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET KUNINGAN,49,1,48,14,0,14,14,3,8,2,1,,-6.2202835,106.8279612
34,3173071001,DKI JAKARTA,JAKARTA BARAT,PALMERAH,PALMERAH,269,8,261,102,6,96,56,20,10,6,20,,-6.1910017,106.7943633
35,3171051002,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,237,4,233,75,3,72,35,7,12,5,11,,-6.178733,106.8624855
36,3175041007,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CAWANG,28,3,25,6,0,6,21,6,10,2,3,,-6.2506727,106.8678109
37,3175021006,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,KAYU PUTIH,81,3,78,38,3,35,40,14,15,4,7,,-6.1781625,106.884318
38,3171061001,DKI JAKARTA,JAKARTA PUSAT,MENTENG,MENTENG,128,2,126,20,2,18,21,9,5,4,3,,-6.1950265,106.8322242
39,3175051004,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,KALISARI,56,0,56,18,2,16,19,3,8,2,6,,-6.3360796,106.8529734
40,3174051001,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA,54,2,52,26,5,21,18,5,8,2,3,,-6.2457077,106.7785578
41,3173051006,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA UTARA,117,2,115,18,2,16,17,6,6,0,5,,-6.1678201,106.7606384
42,3171031002,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,62,0,62,20,1,19,29,2,10,5,12,,-6.158496,106.8538351
43,3173081001,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,53,5,48,21,3,18,25,5,8,1,11,,-6.1732667,106.7427257
44,3171081001,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,142,2,140,30,1,29,23,6,5,3,9,,-6.1831251,106.8553323
45,3175021002,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,PISANGAN TIMUR,76,0,76,15,1,14,8,2,4,2,0,,-6.208459,106.8793966
46,3172031002,DKI JAKARTA,JAKARTA UTARA,KOJA,TUGU UTARA,188,5,183,62,10,52,33,6,5,4,18,,-6.1246667,106.9125193
47,3174041006,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PEJATEN BARAT,106,1,105,24,2,22,20,8,4,2,6,,-6.2726501,106.8393437
48,3173011002,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,75,0,75,16,2,14,17,6,7,1,3,,-6.1688734,106.7207928
49,3175071003,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,KLENDER,108,0,108,19,0,19,42,11,12,8,11,,-6.2132833,106.8998118
50,3175011003,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,KAYU MANIS,209,0,209,21,0,21,27,14,8,1,4,,-6.2018835,106.8619995
51,3172051002,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,438,11,427,59,5,54,134,29,9,7,89,,-6.1368849,106.8362784
52,3172021004,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,38,0,38,23,0,23,10,2,2,3,3,,-6.1267423,106.8854884
