Hospital,City,District,Latitude,Longitude
RSPI Sulianti Saroso,Jakarta Utara,Tanjung Priok,-6.129834,106.862590
RSUP Persahabatan,Jakarta Timur,Pulo Gadung,-6.204693,106.884848
RSPAD Gatot Soebroto,Jakarta Pusat,Senen,-6.173000,106.841800
RSUP Fatmawati,Jakarta Selatan,Cilandak,-6.297550,106.783930
RSU Bhayangkara Said Sukanto,Jakarta Timur,Kramat Jati,-6.234440,106.786670
RSAL Mintohardjo,Jakarta Pusat,Tanah Abang,-6.214620,106.845130
RSUD Cengkareng,Jakarta Barat,Cengkareng,-6.142970,106.734887
RSUD Pasar Minggu,Jakarta Selatan,Pasar Minggu,-6.294225,106.820069
RSKD Duren Sawit,Jakarta Timur,Duren Sawit,-6.214620,106.845130
RS Pelni,Jakarta Barat,Palmerah,-6.193061,106.803976
RSUD Tarakan,Jakarta Pusat,Cideng,-6.171638,106.810346
RSUD Koja,Jakarta Utara,Koja,-6.108922,106.900060
RSU Pertamina Jaya,Jakarta Pusat,Cempaka Putih Timur,-6.214620,106.845130
