Hospital,City,District,Latitude,Longitude
RSPI Sulianti Saroso,Jakarta Utara,Tanjung Priok,-6.1298342,106.8625904
RSUP Persahabatan,Jakarta Timur,Pulo Gadung,-6.2046934,106.8848478
RSPAD Gatot Soebroto,Jakarta Pusat,Senen,-6.173,106.8418
RSUP Fatmawati,Jakarta Selatan,Cilandak,-6.29755,106.78393
RSU Bhayangkara Said Sukanto,Jakarta Timur,Kramat Jati,-6.23444,106.78667
RSAL Mintohardjo,Jakarta Pusat,Tanah Abang,-6.21462,106.84513
RSUD Cengkareng,Jakarta Barat,Cengkareng,-6.1429703,106.7348875
RSUD Pasar Minggu,Jakarta Selatan,Pasar Minggu,-6.2942254,106.8200694
RSKD Duren Sawit,Jakarta Timur,Duren Sawit,-6.21462,106.84513
RS Pelni,Jakarta Barat,Palmerah,-6.1930611,106.8039759
RSUD Tarakan,Jakarta Pusat,Cideng,-6.1716377,106.8103462
RSUD Koja,Jakarta Utara,Koja,-6.1089218,106.9000601
RSU Pertamina Jaya,Jakarta Pusat,Cempaka Putih Timur,-6.21462,106.84513
