FID,ID_KEL,Nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,ODP,Proses Pemantauan,Selesai Pemantauan,PDP,Masih Dirawat,Pulang dan Sehat,POSITIF,Dirawat,Sembuh,Meninggal,Self Isolation,Keterangan
0,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,4003,107,3896,2651,272,2379,580,154,26,8,392,
1,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,5991,370,5621,1819,247,1572,1366,484,406,71,405,
2,3173061005,DKI JAKARTA,JAKARTA BARAT,KALI DERES,PEGADUNGAN,130,0,130,60,0,60,51,15,29,4,3,
3,3174071006,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,SENAYAN,6,0,6,13,0,13,17,0,16,0,1,
4,3173051001,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,422,2,420,45,3,42,55,13,22,7,13,
5,3172061001,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,161,0,161,67,2,65,37,8,15,4,10,
6,3173021003,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,114,1,113,30,3,27,43,9,27,1,6,
7,3175071001,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,138,2,136,35,0,35,40,9,20,4,7,
8,3173061001,DKI JAKARTA,JAKARTA BARAT,KALI DERES,KALIDERES,246,3,243,67,2,65,41,12,19,5,5,
9,3174051002,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,156,0,156,37,3,34,41,7,18,9,7,
10,3175071004,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK KELAPA,106,0,106,14,1,13,52,11,26,4,11,
11,3174061001,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,166,0,166,67,5,62,28,6,13,3,6,
12,3173081004,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,SRENGSENG,63,3,60,34,5,29,28,4,13,3,8,
13,3174011003,DKI JAKARTA,JAKARTA SELATAN,TEBET,MENTENG DALAM,84,0,84,23,5,18,27,3,13,3,8,
14,3172061003,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,176,0,176,56,6,50,54,15,24,3,12,
15,3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,75,1,74,12,0,12,18,4,7,2,5,
16,3175081004,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,HALIM PERDANA KUSUMAH,35,0,35,10,1,9,24,5,16,2,1,
17,3172021006,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,523,7,516,145,9,136,150,44,24,11,71,
18,3172011005,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PLUIT,74,2,72,43,3,40,37,8,12,3,14,
19,3174091005,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,84,2,82,31,1,30,21,5,8,3,5,
20,3173051005,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,DURI KEPA,258,0,258,40,11,29,43,15,12,4,12,
21,3175021007,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,JATI,82,1,81,19,1,18,26,6,15,0,5,
22,3174011001,DKI JAKARTA,JAKARTA SELATAN,TEBET,TEBET TIMUR,39,0,39,14,1,13,14,2,8,3,1,
23,3174061002,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,LEBAK BULUS,113,0,113,32,4,28,28,6,9,6,7,
24,3174101002,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,86,3,83,33,3,30,27,9,9,6,3,
25,3171031003,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,43,1,42,16,1,15,16,1,7,2,6,
26,3173051007,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,87,2,85,24,2,22,15,4,6,0,5,
